work_orders,section_names,status,working_hours,priority
FA2303130448,ES,1,4.0,698
FA2303130449,ES,1,3.0,699
FA2303130450,ES,1,3.0,700
FA2303130478,AW,1,0.2,701
FA2303130496,CNC,1,2.0,702
FA2302120006,M,1,10.0,703
FA2302120007,M,1,9.0,704
FA2302120008,M,1,10.0,705
FA2302200380,M,1,4.0,706
FA2302200464,M,1,4.0,707
FA2302250107,WE,1,1.0,708
FA2303090017,M,1,7.0,709
FA2303090029,EM,1,1.0,710
FA2303090088,AW,1,0.5,711
FA2303090092,G,1,2.0,712
FA2303100010,G,1,1.3,713
FA2303100078,ES,1,6.0,714
FA2303100130,G,1,1.3,715
FA2303120054,ES,1,2.2,716
FA2303110016,CNC,1,2.0,717
FA2303120004,WE,1,3.0,718
FA2303120056,ES,1,2.5,719
FA2301200061,G,1,2.0,720
FA2301200063,G,1,2.0,721
FA2301200064,G,1,2.5,722
FA2301200065,G,1,1.5,723
FA2303100014,ES,1,6.0,724
FA2303100029,CNC,1,1.8,725
FA2303100033,EM,1,1.5,726
FA2303120062,CNC,1,3.5,727
FA2301200059,M,1,1.5,728
FA2301200066,M,1,2.0,729
FA2303120061,CNC,1,1.5,730
FA2303130026,M,1,0.6,731
FA2303130027,M,1,0.6,732
FA2303130028,CNC,1,2.0,733
FA2303080032,G,1,2.0,734
FA2303080033,G,1,2.0,735
FA2303100042,AW,1,1.7,736
FA2303100044,AW,1,0.4,737
FA2303100045,AW,1,0.4,738
FA2303100046,AW,1,0.3,739
FA2303100047,AW,1,0.3,740
FA2303100048,AW,1,0.3,741
FA2303100049,AW,1,0.8,742
FA2303100050,G,1,0.7,743
FA2303100053,AW,1,0.3,744
FA2303100055,AW,1,0.2,745
FA2303100056,AW,1,0.6,746
FA2303100057,AW,1,0.3,747
FA2303100058,AW,1,0.4,748
FA2303130381,AW,1,0.6,749
FA2303130414,ES,1,1.8,750
FA2303130415,G,1,2.0,751
FA2303130459,AW,1,0.5,752
FA2303130460,AW,1,0.5,753
FA2303130468,AW,1,4.0,754
FA2303130469,AW,1,2.0,755
FA2303130492,G,1,2.0,756
FA2303130493,G,1,2.5,757
